Reporting period	Period of coverage	Breakdown	ONS code	Level	Level description	Gender	Indicator value	CI lower	CI upper	Denominator	Numerator
2019	01/01/2019 to 31/12/2019	National	E92000001	National	All registered patients in England	Person	66.4	65.7	67.1	55,001,868	33,457
2019	01/01/2019 to 31/12/2019	National	E92000001	National	All registered patients in England	Female	41.5	40.8	42.3	27,200,365	10,626
2019	01/01/2019 to 31/12/2019	National	E92000001	National	All registered patients in England	Male	91.3	90.1	92.5	27,801,503	22,831
2019	01/01/2019 to 31/12/2019	CCG	E38000004	07L	NHS Barking and Dagenham CCG	Person	68.6	53.7	86.2	219,504	80
2019	01/01/2019 to 31/12/2019	CCG	E38000006	02P	NHS Barnsley CCG	Person	87.0	75.6	99.7	240,912	208
2019	01/01/2019 to 31/12/2019	CCG	E38000007	99E	NHS Basildon and Brentwood CCG	Person	60.8	51.2	71.6	258,395	144
2019	01/01/2019 to 31/12/2019	CCG	E38000008	02Q	NHS Bassetlaw CCG	Person	74.3	59.5	91.6	107,201	88
2019	01/01/2019 to 31/12/2019	CCG	E38000231	92G	NHS Bath and North East Somerset, Swindon and Wiltshire CCG	Person	55.2	50.4	60.4	862,277	480
2019	01/01/2019 to 31/12/2019	CCG	E38000010	06F	NHS Bedfordshire CCG	Person	60.5	53.3	68.5	449,110	253
2019	01/01/2019 to 31/12/2019	CCG	E38000221	15A	NHS Berkshire West CCG	Person	46.9	40.6	53.8	512,680	201
2019	01/01/2019 to 31/12/2019	CCG	E38000220	15E	NHS Birmingham and Solihull CCG	Person	69.0	63.8	74.6	1,231,452	655
2019	01/01/2019 to 31/12/2019	CCG	E38000014	00Q	NHS Blackburn with Darwen CCG	Person	92.1	76.6	109.8	165,843	125
2019	01/01/2019 to 31/12/2019	CCG	E38000015	00R	NHS Blackpool CCG	Person	91.2	77.3	106.9	158,000	153
2019	01/01/2019 to 31/12/2019	CCG	E38000016	00T	NHS Bolton CCG	Person	101.5	89.5	114.6	290,748	261
2019	01/01/2019 to 31/12/2019	CCG	E38000232	36J	NHS Bradford District and Craven CCG	Person	88.9	80.7	97.7	595,317	435
2019	01/01/2019 to 31/12/2019	CCG	E38000020	07P	NHS Brent CCG	Person	63.8	53.7	75.3	373,409	151
2019	01/01/2019 to 31/12/2019	CCG	E38000021	09D	NHS Brighton and Hove CCG	Person	62.2	52.1	73.7	302,811	137
